,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,jamestown,US,42.1,-79.24,77.0,60,40,6.93,1596143156
1,lhokseumawe,ID,5.18,97.15,77.81,82,100,3.42,1596143156
2,avarua,CK,-21.21,-159.78,69.8,64,100,5.82,1596143156
3,albany,US,42.6,-73.97,80.01,51,93,6.44,1596143156
4,sumbe,AO,-11.21,13.84,69.51,88,1,9.42,1596143047
5,nikolskoye,RU,59.7,30.79,59.0,87,75,2.24,1596143157
6,mersing,MY,2.43,103.84,77.0,100,100,5.82,1596143157
7,diffa,NE,13.32,12.61,81.03,66,35,12.71,1596143157
8,rikitea,PF,-23.12,-134.97,72.77,87,97,13.58,1596143157
9,ilulissat,GL,69.22,-51.1,48.2,61,40,4.7,1596143157
10,yekaterinoslavka,RU,50.37,129.11,67.15,93,91,3.98,1596143157
11,atuona,PF,-9.8,-139.03,79.16,76,7,18.61,1596143157
12,guerrero negro,MX,27.98,-114.06,82.94,46,3,13.58,1596143135
13,kaitangata,NZ,-46.28,169.85,48.0,77,98,1.99,1596143157
14,hokitika,NZ,-42.72,170.97,52.09,71,99,4.54,1596143157
15,takoradi,GH,4.88,-1.76,74.53,86,0,8.72,1596142860
16,palu,ID,-0.89,119.87,75.52,82,97,1.43,1596143158
17,faanui,PF,-16.48,-151.75,79.45,80,68,14.25,1596143158
18,avera,US,33.19,-82.53,87.8,94,90,6.93,1596143158
19,castro,BR,-24.79,-50.01,51.22,83,72,9.48,1596143158
20,ribeira grande,PT,38.52,-28.7,75.2,60,75,4.7,1596143158
21,bluff,NZ,-46.6,168.33,47.44,90,100,6.67,1596143132
22,hithadhoo,MV,-0.6,73.08,82.87,77,95,8.14,1596143132
23,kapaa,US,22.08,-159.32,82.4,69,75,16.11,1596143158
24,gizo,SB,-8.1,156.84,81.95,81,100,14.56,1596143158
25,punta arenas,CL,-53.15,-70.92,39.2,80,40,11.41,1596143158
26,mareeba,AU,-17.0,145.43,62.6,77,44,10.29,1596143158
27,itarema,BR,-2.92,-39.92,78.91,73,78,14.67,1596143158
28,khatanga,RU,71.97,102.5,59.29,59,34,8.68,1596143159
29,buraydah,SA,26.33,43.98,102.2,24,36,4.7,1596143159
30,hermanus,ZA,-34.42,19.23,46.0,94,0,4.76,1596143159
31,taoudenni,ML,22.68,-3.98,92.35,38,97,21.41,1596143159
32,nikolayevsk-na-amure,RU,53.14,140.73,59.7,82,100,4.25,1596143159
33,baruun-urt,MN,46.68,113.28,58.91,79,0,5.44,1596143159
34,busselton,AU,-33.65,115.33,48.99,84,36,9.98,1596143025
35,butaritari,KI,3.07,172.79,81.3,76,75,4.72,1596143159
36,mataura,NZ,-46.19,168.86,45.75,86,100,1.86,1596143132
37,padang,ID,-0.95,100.35,73.4,94,20,2.24,1596143159
38,corinto,GR,37.94,22.96,82.0,36,0,1.01,1596143159
39,cape town,ZA,-33.93,18.42,54.0,87,0,3.36,1596142883
40,nioro,GM,13.35,-15.75,76.46,91,100,5.44,1596143159
41,ushuaia,AR,-54.8,-68.3,37.4,69,75,6.93,1596143132
42,denpasar,ID,-8.65,115.22,77.0,100,20,12.75,1596142997
43,iqaluit,CA,63.75,-68.51,55.4,71,75,6.93,1596143160
44,la ronge,CA,55.1,-105.28,77.0,73,75,5.82,1596143160
45,olinda,BR,-8.01,-34.86,78.8,69,40,14.99,1596143160
46,atasu,KZ,48.68,71.64,64.98,53,100,1.72,1596143160
47,sao jose da coroa grande,BR,-8.9,-35.15,74.66,80,11,13.24,1596143160
48,port hardy,CA,50.7,-127.42,64.4,68,20,3.36,1596143160
49,mar del plata,AR,-38.0,-57.56,52.0,57,100,6.93,1596143161
50,bitung,ID,1.45,125.18,77.0,88,20,2.24,1596143161
51,chuy,UY,-33.7,-53.46,46.45,83,0,7.11,1596143161
52,bethel,US,41.37,-73.41,84.99,78,1,6.93,1596143161
53,dawlatabad,AF,36.41,64.91,76.75,19,0,3.74,1596143161
54,mitsamiouli,KM,-11.38,43.28,77.05,81,34,18.23,1596143161
55,mount isa,AU,-20.73,139.5,59.0,30,0,9.17,1596143161
56,nuuk,GL,64.18,-51.72,46.4,81,75,4.7,1596142982
57,barrow,US,71.29,-156.79,37.4,93,90,6.93,1596143162
58,crossford,GB,56.05,-3.5,59.0,100,100,4.7,1596143162
59,qandala,SO,11.47,49.87,90.57,54,94,3.38,1596143162
60,georgetown,MY,5.41,100.34,78.8,94,40,1.12,1596143107
61,khorramshahr,IR,30.44,48.17,104.0,28,0,9.17,1596143162
62,tuktoyaktuk,CA,69.45,-133.04,62.6,77,75,9.17,1596142986
63,thinadhoo,MV,0.53,72.93,82.83,76,66,9.82,1596143162
64,port elizabeth,ZA,-33.92,25.57,53.6,93,4,6.93,1596143162
65,leningradskiy,RU,69.38,178.42,41.14,82,100,15.75,1596143162
66,barcelos,PT,41.54,-8.62,69.01,93,75,2.24,1596143014
67,hobart,AU,-42.88,147.33,48.0,75,75,4.7,1596143162
68,dikson,RU,73.51,80.55,52.16,76,100,7.81,1596143163
69,vao,NC,-22.67,167.48,72.61,89,31,19.75,1596143163
70,ketchikan,US,55.34,-131.65,64.4,77,1,9.17,1596143163
71,new norfolk,AU,-42.78,147.06,48.0,85,100,1.99,1596143163
72,galion,US,40.73,-82.79,80.01,69,20,4.7,1596143163
73,inhambane,MZ,-23.86,35.38,63.64,77,0,6.08,1596143163
74,mayor pablo lagerenza,PY,-19.93,-60.77,73.71,34,2,4.36,1596143163
75,hamilton,US,39.18,-84.53,71.01,88,90,3.36,1596143164
76,labuhan,ID,-6.88,112.21,72.43,82,24,8.61,1596143164
77,tabas,IR,33.6,56.92,95.0,19,0,2.24,1596143164
78,talara,PE,-4.58,-81.27,64.87,78,48,15.17,1596143164
79,port macquarie,AU,-31.43,152.92,54.0,85,8,1.01,1596143164
80,esperance,AU,-33.87,121.9,48.2,100,75,4.7,1596143164
81,kensington,AU,-33.92,151.22,50.0,78,0,8.99,1596143164
82,saint-philippe,RE,-21.36,55.77,71.6,73,90,4.7,1596143132
83,hofn,IS,64.25,-15.21,54.16,82,85,8.08,1596142984
84,liverpool,GB,53.41,-2.98,72.0,72,65,8.05,1596143058
85,novoagansk,RU,61.94,76.66,50.54,82,15,4.29,1596143165
86,ancud,CL,-41.87,-73.82,50.0,93,75,12.75,1596143165
87,manokwari,ID,-0.87,134.08,78.64,77,43,4.74,1596143165
88,saldanha,ZA,-33.01,17.94,51.8,87,0,5.82,1596143165
89,turkistan,KZ,43.0,68.0,78.24,28,74,17.09,1596143165
90,uturoa,PF,-16.73,-151.43,80.19,78,77,14.67,1596143165
91,port alfred,ZA,-33.59,26.89,57.15,85,30,8.01,1596143165
92,dingle,PH,11.0,122.67,76.95,88,100,5.82,1596143166
93,baculin,PH,7.45,126.58,78.06,80,100,6.62,1596143166
94,ternate,ID,0.8,127.4,79.74,78,94,5.66,1596143166
95,gamba,GA,-2.65,10.0,72.05,81,96,7.47,1596143166
96,ruwi,OM,23.6,58.55,93.2,63,3,5.82,1596143166
97,honiara,SB,-9.43,159.95,75.2,94,40,2.24,1596143007
98,mackay,AU,-21.15,149.2,48.0,87,0,6.93,1596143166
99,kavieng,PG,-2.57,150.8,82.99,75,100,6.51,1596143166
100,saint-joseph,RE,-21.37,55.62,71.6,73,90,4.7,1596143166
101,morondava,MG,-20.28,44.28,67.6,76,0,12.15,1596143167
102,lasa,IT,46.62,10.7,69.8,83,90,27.51,1596143167
103,geraldton,AU,-28.77,114.6,46.4,93,86,8.05,1596143167
104,atbasar,KZ,51.8,68.33,65.71,63,49,5.26,1596143167
105,fairbanks,US,64.84,-147.72,72.0,68,75,3.36,1596143133
106,presidencia roque saenz pena,AR,-26.79,-60.44,59.74,42,71,5.03,1596143167
107,half moon bay,US,37.46,-122.43,73.0,82,75,9.17,1596143167
108,chara,RU,56.91,118.26,59.22,85,94,1.59,1596143167
109,lebu,CL,-37.62,-73.65,51.22,89,98,14.34,1596143168
110,santa maria,BR,-29.68,-53.81,57.2,62,7,14.99,1596142999
111,jalu,LY,29.03,21.55,83.1,43,0,13.6,1596143168
112,cabo san lucas,MX,22.89,-109.91,89.6,58,5,14.99,1596143168
113,kamiiso,JP,41.82,140.65,68.97,86,83,0.94,1596143168
114,tasiilaq,GL,65.61,-37.64,48.2,66,99,5.82,1596142984
115,carnarvon,AU,-24.87,113.63,62.6,100,0,12.75,1596143168
116,solnechnyy,RU,50.72,136.63,68.38,94,100,3.65,1596143168
117,codrington,AU,-38.27,141.97,41.36,92,58,8.75,1596143168
118,praia,CV,14.92,-23.51,78.8,74,75,13.87,1596143042
119,nanortalik,GL,60.14,-45.24,43.52,86,100,11.48,1596143169
120,hilo,US,19.73,-155.09,82.4,54,90,8.05,1596143169
121,iralaya,HN,15.0,-83.23,87.8,74,40,11.41,1596143169
122,havelock,US,34.88,-76.9,87.8,70,75,14.99,1596143169
123,ulundi,ZA,-28.34,31.42,53.37,81,0,3.96,1596142926
124,nalut,LY,30.33,10.85,83.12,22,0,14.2,1596143169
125,chokurdakh,RU,70.63,147.92,44.98,81,82,10.38,1596143169
126,gigmoto,PH,13.78,124.39,81.41,80,100,6.22,1596143169
127,carutapera,BR,-1.2,-46.02,76.95,89,84,7.56,1596143169
128,mfou,CM,3.72,11.64,69.8,100,75,4.7,1596143169
129,churachandpur,IN,24.33,93.67,67.35,97,98,1.86,1596143170
130,sheltozero,RU,61.37,35.37,57.29,80,0,11.77,1596143170
131,juegang,CN,32.32,121.19,79.18,91,100,14.0,1596143170
132,kodiak,US,57.79,-152.41,60.8,67,40,12.75,1596143170
133,atar,MR,20.52,-13.05,92.52,36,100,4.03,1596143170
134,chapais,CA,49.78,-74.85,64.4,93,75,5.82,1596143170
135,cayenne,GF,4.93,-52.33,87.8,66,20,6.93,1596143170
136,honningsvag,NO,70.98,25.97,55.4,76,20,18.34,1596143170
137,bandarbeyla,SO,9.49,50.81,78.84,80,24,30.96,1596143170
138,pangody,RU,65.85,74.49,50.88,78,57,4.61,1596143171
139,belyy yar,RU,53.6,91.39,60.8,93,100,4.47,1596143171
140,sept-iles,CA,50.2,-66.38,63.0,93,90,11.41,1596143018
141,hecun,CN,36.53,114.11,74.64,86,0,0.58,1596143171
142,loksa,EE,59.58,25.72,61.0,93,5,6.93,1596143171
143,kipini,KE,-2.53,40.53,76.35,87,2,14.43,1596143171
144,shenjiamen,CN,29.96,122.3,80.24,92,100,11.01,1596143171
145,mrakovo,RU,52.72,56.62,61.27,71,45,4.76,1596143171
146,lorengau,PG,-2.02,147.27,83.25,69,100,3.87,1596143172
147,stornoway,GB,58.21,-6.39,57.2,100,100,12.75,1596142954
148,north bend,US,43.41,-124.22,82.0,82,75,13.87,1596143172
149,kloulklubed,PW,7.04,134.26,83.26,70,100,2.1,1596143172
150,sremska mitrovica,RS,44.98,19.61,77.0,72,0,2.93,1596143018
151,songjianghe,CN,42.19,127.48,61.5,97,100,5.77,1596143172
152,gat,IL,31.61,34.76,82.0,58,0,0.81,1596143172
153,hasaki,JP,35.73,140.83,72.0,100,75,7.36,1596143172
154,yellowknife,CA,62.46,-114.35,68.0,56,75,16.11,1596142983
155,marawi,PH,8.0,124.29,73.99,95,76,4.0,1596143172
156,tadine,NC,-21.55,167.88,74.05,85,21,14.36,1596143172
157,bad orb,DE,50.23,9.35,72.0,51,2,3.2,1596143173
158,assiniboia,CA,49.63,-105.98,92.16,25,0,12.95,1596143173
159,bengkulu,ID,-3.8,102.27,75.04,91,88,7.92,1596143173
160,saskylakh,RU,71.92,114.08,55.76,71,0,1.77,1596143173
161,sioux lookout,CA,50.1,-91.92,78.8,36,20,5.82,1596143173
162,sotouboua,TG,8.57,0.98,71.82,94,11,2.62,1596143173
163,narsaq,GL,60.92,-46.05,48.2,87,100,11.41,1596143173
164,redlands,US,34.06,-117.18,104.0,27,0,3.0,1596143173
165,pevek,RU,69.7,170.31,36.64,95,100,8.7,1596143173
166,biassono,IT,45.63,9.27,84.99,56,0,1.21,1596143173
167,bowen,AU,-20.02,148.23,61.0,87,0,4.7,1596143173
168,podosinovets,RU,60.28,47.07,56.07,95,4,8.08,1596143174
169,sabang,ID,5.89,95.32,83.8,71,100,20.83,1596143174
170,basco,PH,20.45,121.97,84.56,80,100,19.37,1596143174
171,flin flon,CA,54.77,-101.86,84.2,51,75,8.05,1596143174
172,ljungby,SE,56.83,13.94,55.0,100,100,11.41,1596143174
173,broome,US,42.25,-75.83,78.01,69,40,9.17,1596143174
174,plainview,US,40.78,-73.47,90.0,62,1,17.22,1596143174
175,kenai,US,60.55,-151.26,68.0,55,20,5.82,1596143174
176,souillac,MU,-20.52,57.52,69.8,88,40,3.36,1596143174
177,lufilufi,WS,-13.87,-171.6,75.0,94,22,8.01,1596143174
178,severo-kurilsk,RU,50.68,156.12,54.9,92,99,9.31,1596143132
179,thompson,CA,55.74,-97.86,82.4,45,75,6.93,1596143130
180,qaanaaq,GL,77.48,-69.36,43.39,61,4,4.68,1596143132
181,morgan city,US,29.7,-91.21,91.99,75,75,10.29,1596143175
182,nome,US,64.5,-165.41,54.0,100,90,12.75,1596143175
183,vestmannaeyjar,IS,63.44,-20.27,53.6,87,75,8.05,1596142984
184,gimli,CA,50.63,-96.99,86.0,63,1,4.0,1596143175
185,norman wells,CA,65.28,-126.83,71.6,56,75,12.75,1596143175
186,matara,LK,5.95,80.54,77.76,90,100,9.84,1596143175
187,provideniya,RU,64.38,-173.3,50.0,76,90,15.66,1596143175
188,mahebourg,MU,-20.41,57.7,69.8,88,40,3.36,1596143175
189,college,US,64.86,-147.8,72.0,68,75,3.36,1596143176
190,haines junction,CA,60.75,-137.51,74.52,40,0,8.57,1596143176
191,san cristobal,VE,7.77,-72.22,89.6,49,40,18.34,1596143176
192,cidreira,BR,-30.18,-50.21,55.13,76,0,12.66,1596143176
193,herat,AF,34.5,62.0,75.25,20,0,14.85,1596143013
194,ukiah,US,39.15,-123.21,96.01,22,1,7.34,1596143176
195,biak,ID,-0.91,122.88,75.72,89,98,7.34,1596143176
196,shimoda,JP,34.67,138.95,68.0,93,8,1.01,1596143177
197,charters towers,AU,-20.1,146.27,51.6,61,0,10.38,1596143177
198,saint george,US,37.1,-113.58,109.0,7,1,6.93,1596143126
199,fethiye,TR,36.62,29.12,78.8,83,0,2.24,1596143177
200,bredasdorp,ZA,-34.53,20.04,50.0,87,0,4.7,1596143177
201,te anau,NZ,-45.42,167.72,46.17,88,100,0.29,1596143177
202,puerto ayora,EC,-0.74,-90.35,77.0,61,40,16.11,1596143177
203,berezovyy,RU,51.67,135.7,67.1,88,96,5.21,1596143177
204,inuvik,CA,68.35,-133.72,69.8,52,40,11.41,1596142921
205,westlock,CA,54.15,-113.87,79.0,64,1,10.29,1596143061
206,coahuayana,MX,18.73,-103.68,78.8,83,75,17.22,1596143178
207,morros,BR,-9.45,-46.3,83.41,31,0,5.32,1596143178
208,baykit,RU,61.67,96.37,58.91,82,96,3.4,1596143178
209,darhan,MN,49.49,105.92,60.42,86,0,1.19,1596143178
210,vila,PT,42.03,-8.16,71.01,74,0,5.01,1596143178
211,alta floresta,BR,-9.88,-56.09,95.0,20,20,8.05,1596143178
212,kavaratti,IN,10.57,72.64,82.56,79,100,17.25,1596143178
213,koundara,GN,12.48,-13.3,73.67,97,100,3.49,1596143178
214,mount gambier,AU,-37.83,140.77,39.2,100,45,8.05,1596143178
